,0
AEC,5638528.0
AECI,21095979.0
AVA,6626418.0
AZPS,50877265.0
BANC,13048108.0
BCHA,13600000.0
BPAT,112888538.0
CHPD,9122299.0
CISO,163069219.0
CPLE,65404436.0
CPLW,1763668.0
DEAA,1881234.0
DOPD,3969505.0
DUK,105816386.0
EEI,3128223.0
EPE,3791082.0
ERCO,348296609.0
FMPP,16646312.0
FPC,39662367.0
FPL,119874917.0
GCPD,10167397.0
GRID,3169178.0
GRIF,2075860.0
GRIS,0.0
GRMA,6976499.0
GVL,1600132.0
GWA,571637.0
HGMA,3357397.0
HQT,25500000.0
HST,6556.0
IESO,20400000.0
IID,5635186.0
IPCO,11480907.0
ISNE,104724575.0
JEA,13604376.0
LDWP,22990797.0
LGEE,38138679.0
MHEB,9900000.0
MISO,613218513.0
NBSO,1800000.0
NEVP,30272561.0
NEWL,1400000.0
NSB,0.0
NWMT,19468653.0
NYIS,135465708.0
OVEC,6752848.0
PACE,39349736.0
PACW,27060468.0
PGE,6130557.0
PJM,814187789.0
PNM,16544985.0
PSCO,37963498.0
PSEI,15452696.0
SC,18221184.0
SCEG,26753754.0
SCL,6926873.0
SEC,36948016808.0
SEPA,1050081.0
SOCO,240225728.0
SPA,6404989.0
SRP,29798929.0
SWPP,259916607.0
TAL,2585231.0
TEC,22696246.0
TEPC,8688459.0
TIDC,1554272.0
TPWR,3134033.0
TVA,161673342.0
WACM,37757330.0
WALC,7160028.0
WAUE,0.0
WAUW,372527.0
WWA,652790.0
YAD,742065.0
