Source_Region,California,Carolinas,Central,"Electric Reliability Council of Texas, Inc.",Florida,Mid-Atlantic,Midwest,New England ISO,New York Independent System Operator,Northwest,Southeast,Southwest,Tennessee Valley Authority
California,291268678.2506338,1.869936486215911e-06,0.39569324866400635,0.0,1.7708665368357927e-07,8.724676053533117e-06,0.007691270578658059,1.9979438547268874e-09,8.945078792052225e-08,703043.1428695469,5.012878081796169e-06,274871.7026877332,0.00022226530423203174
Carolinas,0.0,232518574.2091196,0.0,0.0,59108.126854760834,7739968.682813074,194680.4948911854,1776.6993682167047,79545.3575979507,0.0,1683116.0978842354,0.0,2930.331470971485
Central,0.0,2302.9663101404785,259819537.56197023,0.0,218.09542752657325,10745.089561216346,8659775.44467237,2.460616935872201,110.16531979295138,0.0,6173.733399138151,0.0,273736.30673164513
"Electric Reliability Council of Texas, Inc.",0.0,0.44682056289643496,94550.74084369506,348200119.0,0.042314783878283385,2.0847577947514266,1837.825976805918,0.00047740787154278966,0.021374229394849325,0.0,1.1978251789567693,0.0,53.11020405312138
Florida,0.0,0.0,0.0,0.0,37201819462.00001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mid-Atlantic,0.0,1197549.4247729604,0.0,0.0,238.0020079375489,817008484.2237087,19845962.036792133,187198.75126752222,8381154.334743167,0.0,6737.2386580042285,0.0,298721.48804954806
Midwest,0.0,102311.97480138256,0.0,0.0,9113.058394434687,4903470.644034794,718661696.7537678,1055.7094263439187,47265.61248363753,0.0,257967.77867414334,0.0,11437997.468417453
New England ISO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126011181.5,0.0,0.0,0.0,0.0,0.0
New York Independent System Operator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3586606.4999999995,160577474.0,0.0,0.0,0.0,0.0
Northwest,55413019.91438853,3.788030178834731,801576.9404733372,0.0,0.35873388928825795,17.67404210515209,15580.617459632997,0.004047341539732373,0.18120523700202268,436946076.07836205,10.154854775356531,8895849.524825545,450.2546938600164
Southeast,0.0,7882023.437322591,0.0,0.0,8201016.091004294,23631.820629577403,1395131.9840718,5.424199814644292,242.84914018497673,0.0,236747268.3622644,0.0,20999.531367379866
Southwest,45701049.116263166,0.007773661019462506,1644.9677331172752,0.0,0.000736180948901035,0.036270041600202904,31.97398988050412,8.305810586109794e-06,0.00037186295274933855,2135739.4638674404,0.02083943236951065,140722577.71343985,0.9239966941251603
Tennessee Valley Authority,0.0,1348043.2554165178,0.0,0.0,127662.34087742485,6289647.159866861,2332645.5019681044,1440.3241810184556,64485.36206273601,0.0,3613800.007756178,0.0,160231776.04787117
